DateTime,Year,Month,Date,Hour,Minute,Second
2020-04-04 12:41:05,2020,4,4,12,41,5
2020-04-04 12:41:08,2020,4,4,12,41,8
2020-04-04 12:41:12,2020,4,4,12,41,12
2020-04-04 12:41:14,2020,4,4,12,41,14
2020-04-04 12:41:18,2020,4,4,12,41,18
2020-04-04 12:41:21,2020,4,4,12,41,21
2020-04-04 12:41:24,2020,4,4,12,41,24
2020-04-04 12:41:27,2020,4,4,12,41,27
2020-04-04 12:41:30,2020,4,4,12,41,30
2020-04-04 12:41:33,2020,4,4,12,41,33
2020-04-04 12:41:36,2020,4,4,12,41,36
2020-04-04 12:41:39,2020,4,4,12,41,39
2020-04-04 12:41:42,2020,4,4,12,41,42
2020-04-04 12:41:45,2020,4,4,12,41,45
2020-04-04 12:41:48,2020,4,4,12,41,48
2020-04-04 12:42:37,2020,4,4,12,42,37
2020-04-04 12:42:40,2020,4,4,12,42,40
2020-04-04 12:42:46,2020,4,4,12,42,46
2020-04-04 12:42:52,2020,4,4,12,42,52
2020-04-04 12:42:56,2020,4,4,12,42,56
2020-04-04 12:42:59,2020,4,4,12,42,59
2020-04-04 13:08:01,2020,4,4,13,8,1
2020-04-04 13:08:50,2020,4,4,13,8,50
2020-04-04 13:08:53,2020,4,4,13,8,53
2020-04-04 13:12:33,2020,4,4,13,12,33
2020-04-04 13:12:40,2020,4,4,13,12,40
2020-04-04 13:12:43,2020,4,4,13,12,43
2020-04-04 13:14:22,2020,4,4,13,14,22
2020-04-04 13:14:25,2020,4,4,13,14,25
2020-04-04 13:14:39,2020,4,4,13,14,39
2020-04-04 13:14:44,2020,4,4,13,14,44
2020-04-04 13:14:47,2020,4,4,13,14,47
2020-04-04 13:14:50,2020,4,4,13,14,50
2020-04-04 13:15:26,2020,4,4,13,15,26
2020-04-04 13:15:33,2020,4,4,13,15,33
2020-04-04 13:15:34,2020,4,4,13,15,34
2020-04-04 13:15:37,2020,4,4,13,15,37
2020-04-04 13:15:40,2020,4,4,13,15,40
2020-04-04 13:15:44,2020,4,4,13,15,44
2020-04-04 13:15:51,2020,4,4,13,15,51
2020-04-04 13:15:54,2020,4,4,13,15,54
2020-04-04 13:15:57,2020,4,4,13,15,57
2020-04-04 13:21:08,2020,4,4,13,21,8
2020-04-04 13:21:11,2020,4,4,13,21,11
2020-04-04 14:11:16,2020,4,4,14,11,16
2020-04-04 14:11:30,2020,4,4,14,11,30
2020-04-04 14:11:36,2020,4,4,14,11,36
2020-04-04 14:12:12,2020,4,4,14,12,12
2020-04-04 14:12:19,2020,4,4,14,12,19
2020-04-04 14:12:28,2020,4,4,14,12,28
2020-04-04 14:13:07,2020,4,4,14,13,7
2020-04-04 14:13:15,2020,4,4,14,13,15
2020-04-04 14:13:36,2020,4,4,14,13,36
2020-04-04 14:13:43,2020,4,4,14,13,43
2020-04-04 14:13:50,2020,4,4,14,13,50
2020-04-04 14:13:53,2020,4,4,14,13,53
2020-04-04 14:14:11,2020,4,4,14,14,11
2020-04-04 14:14:18,2020,4,4,14,14,18
2020-04-04 14:26:00,2020,4,4,14,26,0
2020-04-04 14:26:03,2020,4,4,14,26,3
2020-04-04 14:26:59,2020,4,4,14,26,59
2020-04-04 14:33:12,2020,4,4,14,33,12
2020-04-04 14:35:51,2020,4,4,14,35,51
2020-04-04 14:36:07,2020,4,4,14,36,7
2020-04-04 14:36:15,2020,4,4,14,36,15
2020-04-04 14:36:18,2020,4,4,14,36,18
2020-04-04 14:36:34,2020,4,4,14,36,34
2020-04-04 14:36:42,2020,4,4,14,36,42
2020-04-04 14:36:45,2020,4,4,14,36,45
2020-04-04 14:37:03,2020,4,4,14,37,3
2020-04-04 14:37:13,2020,4,4,14,37,13
2020-04-04 14:37:26,2020,4,4,14,37,26
2020-04-04 14:37:54,2020,4,4,14,37,54
2020-04-04 14:38:23,2020,4,4,14,38,23
2020-04-04 14:38:29,2020,4,4,14,38,29
2020-04-04 14:38:32,2020,4,4,14,38,32
2020-04-04 14:38:41,2020,4,4,14,38,41
2020-04-04 14:40:20,2020,4,4,14,40,20
2020-04-04 14:40:27,2020,4,4,14,40,27
2020-04-04 14:40:30,2020,4,4,14,40,30
2020-04-04 14:41:01,2020,4,4,14,41,1
2020-04-04 14:43:24,2020,4,4,14,43,24
2020-04-04 14:43:27,2020,4,4,14,43,27
2020-04-04 14:50:43,2020,4,4,14,50,43
2020-04-04 14:52:22,2020,4,4,14,52,22
2020-04-04 14:52:29,2020,4,4,14,52,29
2020-04-04 15:24:26,2020,4,4,15,24,26
2020-04-04 15:24:29,2020,4,4,15,24,29
2020-04-04 15:36:09,2020,4,4,15,36,9
2020-04-04 15:36:13,2020,4,4,15,36,13
2020-04-04 15:36:16,2020,4,4,15,36,16
2020-04-04 15:36:19,2020,4,4,15,36,19
2020-04-04 15:36:22,2020,4,4,15,36,22
2020-04-04 15:39:28,2020,4,4,15,39,28
2020-04-04 15:41:59,2020,4,4,15,41,59
2020-04-04 15:42:02,2020,4,4,15,42,2
2020-04-04 15:42:05,2020,4,4,15,42,5
2020-04-04 15:42:08,2020,4,4,15,42,8
2020-04-04 15:42:11,2020,4,4,15,42,11
2020-04-04 15:42:14,2020,4,4,15,42,14
2020-04-04 15:42:23,2020,4,4,15,42,23
2020-04-04 16:11:17,2020,4,4,16,11,17
2020-04-04 16:11:56,2020,4,4,16,11,56
2020-04-04 16:12:05,2020,4,4,16,12,5
2020-04-04 16:12:17,2020,4,4,16,12,17
2020-04-04 16:12:30,2020,4,4,16,12,30
2020-04-04 16:12:57,2020,4,4,16,12,57
2020-04-04 16:13:21,2020,4,4,16,13,21
2020-04-04 16:13:24,2020,4,4,16,13,24
2020-04-04 16:29:56,2020,4,4,16,29,56
2020-04-04 16:29:59,2020,4,4,16,29,59
2020-04-04 16:46:53,2020,4,4,16,46,53
2020-04-04 16:47:13,2020,4,4,16,47,13
2020-04-04 16:47:22,2020,4,4,16,47,22
2020-04-04 16:50:31,2020,4,4,16,50,31
2020-04-04 16:50:45,2020,4,4,16,50,45
2020-04-04 21:47:03,2020,4,4,21,47,3
2020-04-04 21:48:14,2020,4,4,21,48,14
2020-04-04 21:49:24,2020,4,4,21,49,24
2020-04-04 21:51:36,2020,4,4,21,51,36
2020-04-04 21:59:08,2020,4,4,21,59,8
2020-04-04 22:07:08,2020,4,4,22,7,8
2020-04-04 22:07:59,2020,4,4,22,7,59
2020-04-04 22:08:08,2020,4,4,22,8,8
2020-04-04 22:31:55,2020,4,4,22,31,55
2020-04-04 22:44:45,2020,4,4,22,44,45
2020-04-04 22:56:44,2020,4,4,22,56,44
2020-04-04 22:58:23,2020,4,4,22,58,23
2020-04-04 23:00:50,2020,4,4,23,0,50
2020-04-04 23:02:06,2020,4,4,23,2,6
2020-04-04 23:02:12,2020,4,4,23,2,12
2020-04-04 23:02:17,2020,4,4,23,2,17
