DateTime,Year,Month,Date,Hour,Minute,Second
2020-04-19 11:37:00,2020,4,19,11,37,0
2020-04-21 13:55:00,2020,4,21,13,55,0
2020-04-21 14:37:00,2020,4,21,14,37,0
2020-04-22 08:40:00,2020,4,22,8,40,0
2020-04-22 13:26:00,2020,4,22,13,26,0
2020-04-22 20:00:00,2020,4,22,20,0,0
2020-04-22 21:46:00,2020,4,22,21,46,0
2020-04-22 23:07:00,2020,4,22,23,7,0
2020-04-23 01:08:00,2020,4,23,1,8,0
2020-04-23 06:18:00,2020,4,23,6,18,0
2020-04-23 09:09:00,2020,4,23,9,9,0
2020-04-23 12:38:00,2020,4,23,12,38,0
2020-04-23 14:24:00,2020,4,23,14,24,0
2020-04-23 22:37:00,2020,4,23,22,37,0
2020-04-23 22:47:00,2020,4,23,22,47,0
2020-04-24 02:50:00,2020,4,24,2,50,0
2020-04-24 03:47:00,2020,4,24,3,47,0
2020-04-24 04:07:00,2020,4,24,4,7,0
2020-04-24 12:10:00,2020,4,24,12,10,0
2020-04-24 16:31:00,2020,4,24,16,31,0
2020-04-24 16:59:00,2020,4,24,16,59,0
2020-04-24 21:16:00,2020,4,24,21,16,0
2020-04-24 23:24:00,2020,4,24,23,24,0
2020-04-25 19:28:00,2020,4,25,19,28,0
2020-04-26 01:24:00,2020,4,26,1,24,0
2020-04-26 01:50:00,2020,4,26,1,50,0
2020-04-26 02:26:00,2020,4,26,2,26,0
2020-04-26 08:47:00,2020,4,26,8,47,0
2020-04-26 11:07:00,2020,4,26,11,7,0
2020-04-27 08:53:00,2020,4,27,8,53,0
2020-04-27 09:09:00,2020,4,27,9,9,0
2020-04-27 10:16:00,2020,4,27,10,16,0
2020-04-27 13:03:00,2020,4,27,13,3,0
2020-04-27 19:12:00,2020,4,27,19,12,0
2020-04-27 21:58:00,2020,4,27,21,58,0
2020-04-27 23:26:00,2020,4,27,23,26,0
2020-04-27 23:57:00,2020,4,27,23,57,0
2020-04-28 08:36:00,2020,4,28,8,36,0
2020-04-28 13:07:00,2020,4,28,13,7,0
2020-04-28 13:08:00,2020,4,28,13,8,0
2020-04-29 07:49:00,2020,4,29,7,49,0
2020-04-29 09:40:00,2020,4,29,9,40,0
2020-04-29 15:41:00,2020,4,29,15,41,0
2020-04-29 16:56:00,2020,4,29,16,56,0
2020-04-29 20:25:00,2020,4,29,20,25,0
2020-04-29 21:06:00,2020,4,29,21,6,0
2020-04-29 23:43:00,2020,4,29,23,43,0
2020-04-30 01:33:00,2020,4,30,1,33,0
2020-04-30 09:52:00,2020,4,30,9,52,0
2020-04-30 10:17:00,2020,4,30,10,17,0
2020-04-30 21:02:00,2020,4,30,21,2,0
2020-04-30 22:28:00,2020,4,30,22,28,0
2020-05-01 07:44:00,2020,5,1,7,44,0
2020-05-01 09:39:00,2020,5,1,9,39,0
2020-05-01 14:05:00,2020,5,1,14,5,0
2020-05-01 17:58:00,2020,5,1,17,58,0
2020-05-01 21:25:00,2020,5,1,21,25,0
2020-05-01 23:40:00,2020,5,1,23,40,0
2020-05-02 00:10:00,2020,5,2,0,10,0
2020-05-02 08:52:00,2020,5,2,8,52,0
2020-05-02 21:43:00,2020,5,2,21,43,0
2020-05-03 14:44:00,2020,5,3,14,44,0
2020-05-03 19:17:00,2020,5,3,19,17,0
2020-05-03 20:19:00,2020,5,3,20,19,0
2020-05-03 22:45:00,2020,5,3,22,45,0
2020-05-04 04:05:00,2020,5,4,4,5,0
2020-05-04 07:23:00,2020,5,4,7,23,0
2020-05-04 07:56:00,2020,5,4,7,56,0
2020-05-04 08:07:00,2020,5,4,8,7,0
2020-05-04 09:09:00,2020,5,4,9,9,0
2020-05-04 11:33:00,2020,5,4,11,33,0
2020-04-19 11:38:00,2020,4,19,11,38,0
2020-04-21 14:07:00,2020,4,21,14,7,0
2020-04-21 14:45:00,2020,4,21,14,45,0
2020-04-22 09:18:00,2020,4,22,9,18,0
2020-04-22 13:35:00,2020,4,22,13,35,0
2020-04-22 20:34:00,2020,4,22,20,34,0
2020-04-22 21:55:00,2020,4,22,21,55,0
2020-04-22 23:19:00,2020,4,22,23,19,0
2020-04-23 03:26:00,2020,4,23,3,26,0
2020-04-23 08:36:00,2020,4,23,8,36,0
2020-04-23 09:18:00,2020,4,23,9,18,0
2020-04-23 12:46:00,2020,4,23,12,46,0
2020-04-23 14:29:00,2020,4,23,14,29,0
2020-04-23 16:55:00,2020,4,23,16,55,0
2020-04-23 23:06:00,2020,4,23,23,6,0
2020-04-24 10:51:00,2020,4,24,10,51,0
2020-04-24 12:27:00,2020,4,24,12,27,0
2020-04-24 16:40:00,2020,4,24,16,40,0
2020-04-24 17:42:00,2020,4,24,17,42,0
2020-04-24 21:31:00,2020,4,24,21,31,0
2020-04-24 23:32:00,2020,4,24,23,32,0
2020-04-25 09:18:00,2020,4,25,9,18,0
2020-04-25 19:32:00,2020,4,25,19,32,0
2020-04-26 06:46:00,2020,4,26,6,46,0
2020-04-26 10:23:00,2020,4,26,10,23,0
2020-04-26 11:08:00,2020,4,26,11,8,0
2020-04-26 21:54:00,2020,4,26,21,54,0
2020-04-27 08:57:00,2020,4,27,8,57,0
2020-04-27 09:18:00,2020,4,27,9,18,0
2020-04-27 10:19:00,2020,4,27,10,19,0
2020-04-27 11:58:00,2020,4,27,11,58,0
2020-04-27 13:05:00,2020,4,27,13,5,0
2020-04-27 16:55:00,2020,4,27,16,55,0
2020-04-27 19:31:00,2020,4,27,19,31,0
2020-04-27 23:01:00,2020,4,27,23,1,0
2020-04-27 23:39:00,2020,4,27,23,39,0
2020-04-28 08:38:00,2020,4,28,8,38,0
2020-04-28 13:26:00,2020,4,28,13,26,0
2020-04-29 09:16:00,2020,4,29,9,16,0
2020-04-29 10:46:00,2020,4,29,10,46,0
2020-04-29 15:56:00,2020,4,29,15,56,0
2020-04-29 17:08:00,2020,4,29,17,8,0
2020-04-29 20:42:00,2020,4,29,20,42,0
2020-04-29 21:18:00,2020,4,29,21,18,0
2020-04-29 23:51:00,2020,4,29,23,51,0
2020-04-30 01:46:00,2020,4,30,1,46,0
2020-04-30 10:25:00,2020,4,30,10,25,0
2020-04-30 21:04:00,2020,4,30,21,4,0
2020-04-30 22:30:00,2020,4,30,22,30,0
2020-05-01 08:13:00,2020,5,1,8,13,0
2020-05-01 10:09:00,2020,5,1,10,9,0
2020-05-01 14:07:00,2020,5,1,14,7,0
2020-05-01 17:59:00,2020,5,1,17,59,0
2020-05-01 21:37:00,2020,5,1,21,37,0
2020-05-01 23:50:00,2020,5,1,23,50,0
2020-05-02 01:14:00,2020,5,2,1,14,0
2020-05-02 08:13:00,2020,5,2,8,13,0
2020-05-02 09:22:00,2020,5,2,9,22,0
2020-05-02 19:44:00,2020,5,2,19,44,0
2020-05-02 23:05:00,2020,5,2,23,5,0
2020-05-03 14:50:00,2020,5,3,14,50,0
2020-05-03 19:21:00,2020,5,3,19,21,0
2020-05-03 20:22:00,2020,5,3,20,22,0
2020-05-03 23:22:00,2020,5,3,23,22,0
2020-05-04 08:05:00,2020,5,4,8,5,0
2020-05-04 08:16:00,2020,5,4,8,16,0
2020-05-04 09:20:00,2020,5,4,9,20,0
2020-05-04 12:02:00,2020,5,4,12,2,0
2020-05-04 16:33:00,2020,5,4,16,33,0
2020-04-21 14:17:00,2020,4,21,14,17,0
2020-04-21 14:52:00,2020,4,21,14,52,0
2020-04-22 10:48:00,2020,4,22,10,48,0
2020-04-22 14:13:00,2020,4,22,14,13,0
2020-04-22 20:35:00,2020,4,22,20,35,0
2020-04-22 22:55:00,2020,4,22,22,55,0
2020-04-22 23:23:00,2020,4,22,23,23,0
2020-04-23 06:01:00,2020,4,23,6,1,0
2020-04-23 08:56:00,2020,4,23,8,56,0
2020-04-23 09:20:00,2020,4,23,9,20,0
2020-04-23 13:24:00,2020,4,23,13,24,0
2020-04-23 14:33:00,2020,4,23,14,33,0
2020-04-23 17:17:00,2020,4,23,17,17,0
2020-04-23 23:24:00,2020,4,23,23,24,0
2020-04-24 10:53:00,2020,4,24,10,53,0
2020-04-24 12:28:00,2020,4,24,12,28,0
2020-04-24 17:48:00,2020,4,24,17,48,0
2020-04-24 21:56:00,2020,4,24,21,56,0
2020-04-24 23:34:00,2020,4,24,23,34,0
2020-04-25 09:24:00,2020,4,25,9,24,0
2020-04-25 20:17:00,2020,4,25,20,17,0
2020-04-26 10:24:00,2020,4,26,10,24,0
2020-04-26 11:09:00,2020,4,26,11,9,0
2020-04-26 22:45:00,2020,4,26,22,45,0
2020-04-27 09:05:00,2020,4,27,9,5,0
2020-04-27 10:25:00,2020,4,27,10,25,0
2020-04-27 12:06:00,2020,4,27,12,6,0
2020-04-27 13:24:00,2020,4,27,13,24,0
2020-04-27 16:56:00,2020,4,27,16,56,0
2020-04-27 19:32:00,2020,4,27,19,32,0
2020-04-27 23:42:00,2020,4,27,23,42,0
2020-04-28 08:39:00,2020,4,28,8,39,0
2020-04-28 13:46:00,2020,4,28,13,46,0
2020-04-29 10:47:00,2020,4,29,10,47,0
2020-04-29 16:03:00,2020,4,29,16,3,0
2020-04-29 17:11:00,2020,4,29,17,11,0
2020-04-29 21:19:00,2020,4,29,21,19,0
2020-04-30 00:12:00,2020,4,30,0,12,0
2020-04-30 10:26:00,2020,4,30,10,26,0
2020-04-30 21:05:00,2020,4,30,21,5,0
2020-04-30 23:08:00,2020,4,30,23,8,0
2020-05-01 08:20:00,2020,5,1,8,20,0
2020-05-01 10:26:00,2020,5,1,10,26,0
2020-05-01 14:30:00,2020,5,1,14,30,0
2020-05-01 18:04:00,2020,5,1,18,4,0
2020-05-01 22:13:00,2020,5,1,22,13,0
2020-05-02 09:26:00,2020,5,2,9,26,0
2020-05-02 19:49:00,2020,5,2,19,49,0
2020-05-02 23:18:00,2020,5,2,23,18,0
2020-05-03 08:27:00,2020,5,3,8,27,0
2020-05-03 15:13:00,2020,5,3,15,13,0
2020-05-03 19:23:00,2020,5,3,19,23,0
2020-05-03 20:25:00,2020,5,3,20,25,0
2020-05-03 23:35:00,2020,5,3,23,35,0
2020-05-04 09:31:00,2020,5,4,9,31,0
2020-05-04 12:14:00,2020,5,4,12,14,0
2020-05-04 16:52:00,2020,5,4,16,52,0
2020-04-21 14:18:00,2020,4,21,14,18,0
2020-04-21 16:17:00,2020,4,21,16,17,0
2020-04-22 10:51:00,2020,4,22,10,51,0
2020-04-22 14:34:00,2020,4,22,14,34,0
2020-04-22 20:36:00,2020,4,22,20,36,0
2020-04-23 09:25:00,2020,4,23,9,25,0
2020-04-23 13:38:00,2020,4,23,13,38,0
